ID,CardSourceID,CardHolderID,DateIn,InTime,ReportField1,ReportField2,DateOut,OutTime,HoursWorked
4335,73,221461676,NULL,NULL,,,3/15/2017,12:20,0
4332,73,220181978,NULL,NULL,,,3/15/2017,12:19,0
4333,73,215559154,NULL,NULL,,,3/15/2017,12:19,0
4330,73,216487223,NULL,NULL,,,3/15/2017,12:18,0
4331,73,223164799,NULL,NULL,,,3/15/2017,12:19,0
4567,73,220814677,3/17/2017,8:34,,,NULL,NULL,0
4566,73,216453183,3/17/2017,8:33,,,NULL,NULL,0
4569,73,222028235,3/17/2017,8:34,,,NULL,NULL,0
4568,73,222588857,3/17/2017,8:34,,,NULL,NULL,0
7060,73,214926875,NULL,NULL,,,4/6/2017,16:02,0
4273,73,220328215,NULL,NULL,,,3/15/2017,11:20,0
4131,73,223302100,NULL,NULL,,,3/13/2017,15:43,0
4134,73,220328215,NULL,NULL,,,3/13/2017,15:43,0
4272,73,223275090,NULL,NULL,,,3/15/2017,11:20,0
4135,73,216563965,NULL,NULL,,,3/13/2017,15:43,0
4208,73,218923126,NULL,NULL,,,3/13/2017,16:03,0
4209,73,218661437,NULL,NULL,,,3/13/2017,16:03,0
4136,73,219567153,NULL,NULL,,,3/13/2017,15:44,0
4108,73,216360487,NULL,NULL,,,3/13/2017,15:37,0
4202,73,226529576,NULL,NULL,,,3/13/2017,16:01,0
4203,73,242942639,NULL,NULL,,,3/13/2017,16:01,0
4200,73,221104367,NULL,NULL,,,3/13/2017,16:00,0
4137,73,220872287,NULL,NULL,,,3/13/2017,15:44,0
4206,73,220879779,NULL,NULL,,,3/13/2017,16:01,0
4207,73,220472872,NULL,NULL,,,3/13/2017,16:03,0
